participant_id,age,av_disclose_performance,av_reduce_injuries,av_report_safety,av_school_zone,av_share_data,av_speed_limit,av_two_drivers,bikegph_member,bikepgh_position,bikepgh_should_advocate,elaborate_bikepgh_position,end_date,familiar_av_tech,feel_safe_avs,feel_safe_cars,herzberg_death_change_opinion,interacted_av_biking,interacted_av_walking,interaction_details,negative_av_interaction,other_av_regulations,other_comments,own_car,own_smartphone,paying_attention_av_news,positive_av_interaction,regulate_av_testing,start_date,thoughts_pgh_av_testing,year,zipcode
0,,,Yes,,No,Yes,No,,,Actively Support,Agree,,02/22/2017 10:14:24 AM PST,Somewhat familiar,4.0,3.0,,No,No,,,No,,,,To a moderate extent,,Not sure,02/22/2017 10:11:47 AM PST,Approve,2017,15216
1,,,Yes,,Not sure,Yes,Yes,,,Actively Support,Agree,"My understanding of AVs is that they will make the roads safer for everyone. They don't have the blind spots that human drivers do, they will be able to sense cyclists near them and not get too close, and they will be able to sense pedestrians and stop appropriately. Ideally, it seems that they will also lessen the amount of cars on the road, which makes things safer/more efficient for everyone and is better for the environment (facts that I know BikePGH knows well!)",02/22/2017 10:20:19 AM PST,Mostly Unfamiliar,4.0,2.0,,No,Yes,"An AV stopped for me in a crosswalk on Friendship Ave (on the West Penn side of the circle/park). This is surprising because most human drivers just blow right through these crosswalks, even though they connect the park to the hospital and the rest of the neighborhood and see a fair amount of foot traffic.",,Not at this time.,"I would really like them to share their data with City Planning so we aren't just being guinea pigs for no payoff, but otherwise I am pretty in favor of them.",,,To some extent,,Yes,02/22/2017 10:15:25 AM PST,Neutral,2017,15224
2,,,Yes,,No,Yes,No,,,Actively Support,Neutral,"With a lot of the initial work on AVs coming to Pittsburgh, an economic driver (pun intended), rather than oppose AVs BikePGH should work with the AV developers so that the AVs don't only respond to car traffic but to bicycle traffic as well.  If we can teach AVs to avoid hitting other cars we should also be teaching them to avoid hitting cyclists.",02/22/2017 10:21:19 AM PST,Somewhat familiar,4.0,4.0,,No,Yes,As pedestrians were crossing the street the vehicle jumped the light and passed in front of the pedestrians.  A very usual pittsburgh driver move.,,no,,,,To a moderate extent,,Yes,02/22/2017 10:17:08 AM PST,Approve,2017,15206
3,,,Maybe,,Yes,Yes,Not sure,,,Neither Support nor Oppose,Agree,"as a non profit advocacy group, bike pgh should give resources so that av cars and their drivers can understand why biking is the most effective and environmental way to travel our city. the fact that there has been no outreach to local groups (bike pgh and others) regarding using our city as a testing ground is absurd. it seems to me that Uber just threw a bunch of money at our city with no repercussions and it makes me want to say that bike pgh should oppose, but again, we are trying to make the city safe and environmentally friendly, not a war zone.",02/22/2017 10:40:24 AM PST,Extremely familiar,3.0,3.0,,Yes,Not sure,"i felt an av vehicle hit me with their side mirror while i was biking down penn ave (1/3/17). the car went full speed past me in the same lane i was in. the person in the passenger seat refused to roll down the window and did not acknowledge that this interaction threatened me.  A couple weeks later I decided to complain to Uber. They were slow getting back to me and it was a big situation where I spent more than three hours of my time explaining my concerns.  actually, they got back to me yesterday and said that they have no proof that the vehicle made contact with me, so they do not feel obligated to address my concerns anymore. I told them that I was very interested in hearing their steps in moving forward in working with local advocacy groups and make sure their time his vehicles do not hurt anyone else.  they said they have a meeting with you guys and I hope that's true. to be honest, I'm surprised they werent required to work with local organizations in the first place. I am really not looking forward to another altercation where I am threatened again. This is not the first time i have felt threatened, it's just the first time where i wasn't able to physically dodge the car.",,"import data/bike route information from BikePGH's maps to understand where bikers will lost likely be. also, in those areas, cap the max speed limit for AVs to ensure a little more safety for bikers",i have spent a lot of time conversing with people who work at uber and third parties about these technologies and the responsibility that's carried along with using our city as a testing ground. feel free to call me at 5129448987 anna bieberdorf,,,To a large extent,,Yes,02/22/2017 10:19:36 AM PST,Disapprove,2017,15201
4,,,Maybe,,Yes,Yes,Yes,,,Neither Support nor Oppose,Disagree,,02/22/2017 10:28:56 AM PST,Mostly Unfamiliar,4.0,4.0,,Yes,Yes,,,None,,,,To a moderate extent,,Yes,02/22/2017 10:27:29 AM PST,Somewhat Approve,2017,15224
5,,,Yes,,Not sure,Yes,Yes,,,No Opinion,Neutral,"It depends. If AVs are public and not individually owned and can reduce the number of vehicles parked, then I see them more worthy of investing in. If not, I have equal opinions for and against AVs.",02/22/2017 12:17:09 PM PST,Somewhat familiar,4.0,4.0,,Yes,Not sure,"An AV passed me as we approached a stop sign. It signaled to turn right so I waited in order to avoid a crash. The AV seemed to expect the same scenario and waited for me as well. After about 3 seconds with me stopped 5ft behind and to the right of it, the AV turned and then I went straight.",,,,,,To a moderate extent,,Yes,02/22/2017 10:29:01 AM PST,Approve,2017,15201-1720
6,,,Yes,,No,Yes,Yes,,,Actively Support,Neutral,"I think BikePGH should support AVs because they will be less likely to injure or kill cyclists and pedestrians.  They don't get distracted.  They'll follow the rules of the road and give bicycles four feet of clearance, they'll stop for pedestrians in crosswalks, and they won't harass or throw things at pedestrians and cyclists.   They'll also replace drivers who are drunk, tired, or otherwise impaired.  However, this only applies if the AVs are operating as designed.  Software and hardware glitches or security breaches could cause accidents.  Hence my suggestion for stringent testing requirements.  If the AVs undergo extensive on-street testing with safety drivers and engineers, testing on a closed course without drivers, software stress testing, and regular mechanical inspection of the vehicle, computing hardware, and sensors, the danger will be minimized.  Same goes for cybersecurity -- the AVs need to be made as secure as possible against unauthorized intrusion into their software systems, which can also be achieved via testing and regulation.",02/22/2017 10:50:10 AM PST,Extremely familiar,3.0,3.0,,No,Yes,The AV drove up to a crosswalk when I was crossing with the light.  It detected the presence of a pedestrian and stopped at a safe distance.,,I'm concerned about edge cases in the autonomy software -- unusual situations where the vehicle is in situations that its designers didn't anticipate.  I'm also concerned about software security for AVs.  Testing regulations should include language about software safety and security requirements.,"I don't think that pedestrians and cyclists should fear this technology.   However, we should be cautious of our personal safety around unmanned vehicles as we would with any vehicle!",,,To a large extent,,Yes,02/22/2017 10:30:07 AM PST,Approve,2017,15215
7,,,Yes,,Not sure,Yes,Not sure,,,No Opinion,Neutral,"It depends on the experiences of people biking on the streets by AVs. As a pedestrian, I haven't experienced any reason that BikePGH should be involved. Except perhaps BikePGH should encourage AV companies to have to share anonymized data, which could be used to aid in city planning and decisions about bike lanes.",02/22/2017 10:38:30 AM PST,Somewhat familiar,4.0,4.0,,No,Yes,"I haven't noticed any difference between AV and human-driven vehicles when using sidewalks and crosswalks, and I work in the Strip District near Uber so I encounter them on a daily basis.",,,"I think eventually they'll be safer for bicyclists and pedestrians to interact with than human-operated vehicles. I'm not sure we're at that point yet, though.",,,To a moderate extent,,Yes,02/22/2017 10:32:10 AM PST,Somewhat Approve,2017,15227
8,,,,,,,,,,,,,02/24/2017 10:45:23 AM PST,,,,,,,,,,,,,,,,02/22/2017 10:37:00 AM PST,,2017,
9,,,Yes,,No,Yes,No,,,Actively Support,Neutral,I think that a future with autonomous vehicles as the majority of traffic would be much safer for bicyclists.,02/22/2017 10:42:30 AM PST,Mostly familiar,4.0,3.0,,Yes,No,I regularly bike through downtown and down Smallman St. Uber's autonomous vehicles are often around. I have never had a negative experience with them.,,"There needs to be a mechanism for enforcing violations of traffic law for autonomous vehicles. However, I think the particular traffic laws should be the same as for human motorists.",,,,To a large extent,,Yes,02/22/2017 10:38:05 AM PST,Approve,2017,15217
